iter	Logloss
0	0.6861381807
1	0.6787966095
2	0.6724718264
3	0.6614599241
4	0.6507376419
5	0.6452319224
6	0.6358150297
7	0.6307770458
8	0.6257375054
9	0.6218798855
10	0.6159828195
11	0.6106481279
12	0.6058706076
13	0.6012862537
14	0.594340479
15	0.5896288539
16	0.5863048391
17	0.5803374103
18	0.577600112
19	0.5749999957
20	0.5717641506
21	0.5693014003
22	0.5671896286
23	0.5637779281
24	0.5600146913
25	0.5584118131
26	0.556531534
27	0.5547110042
28	0.5527223465
29	0.5508991978
30	0.5489708736
31	0.5469880961
32	0.544742426
33	0.5430430684
34	0.5406472907
35	0.5384769373
36	0.5369346006
37	0.5357395072
38	0.5345288951
39	0.5310283857
40	0.5297166711
41	0.5281205313
42	0.5262105317
43	0.5244214633
44	0.5233542678
45	0.5217866362
46	0.518762682
47	0.5168342819
48	0.5158234508
49	0.5145712112
50	0.5134530042
51	0.512421322
52	0.5112416105
53	0.5104120355
54	0.5096086847
55	0.507225089
56	0.5052827349
57	0.5045858781
58	0.503391733
59	0.5023353586
60	0.5005288385
61	0.4998286696
62	0.4989432065
63	0.4977956085
64	0.4960237442
65	0.4936109566
66	0.4917823479
67	0.4910640405
68	0.4901551619
69	0.4892514883
70	0.4877835965
71	0.4859985194
72	0.4853352918
73	0.4847833941
74	0.4839606211
75	0.4831759431
76	0.4821489464
77	0.4803023797
78	0.479725077
79	0.4791373839
80	0.4785791443
81	0.4780955338
82	0.4776516392
83	0.4770010483
84	0.4764565782
85	0.4751059934
86	0.4742714121
87	0.4730543996
88	0.4726589586
89	0.4722533256
90	0.4716652189
91	0.4710312427
92	0.4697481798
93	0.468431861
94	0.4678052363
95	0.4672043138
96	0.466890279
97	0.4663873017
98	0.4648351613
99	0.4637418995
100	0.4626645784
101	0.4618462881
102	0.4613201728
103	0.4609000751
104	0.4604925797
105	0.4601764531
106	0.4592483567
107	0.4580934757
108	0.4576885807
109	0.4566744362
110	0.456224949
111	0.4558956206
112	0.4553685249
113	0.4550728114
114	0.4546688712
115	0.4541517032
116	0.4537248769
117	0.4532041864
118	0.4528523597
119	0.4522068639
120	0.451789556
121	0.4513714923
122	0.4504598598
123	0.4499899793
124	0.4496674116
125	0.4488382065
126	0.4485174595
