iter	Passed	Remaining
420	2336	3213
421	2342	3207
422	2347	3201
423	2352	3196
424	2358	3190
425	2363	3184
426	2368	3178
427	2374	3172
428	2379	3167
429	2384	3161
430	2389	3155
431	2395	3149
432	2400	3143
433	2405	3137
434	2411	3131
435	2416	3126
436	2422	3120
437	2427	3114
438	2432	3108
439	2438	3103
440	2443	3097
441	2448	3091
442	2454	3085
443	2459	3080
444	2465	3074
445	2470	3068
446	2475	3062
447	2481	3057
448	2486	3051
449	2492	3046
450	2497	3040
451	2502	3034
452	2507	3028
453	2513	3022
454	2518	3016
455	2523	3010
456	2529	3005
457	2534	2999
458	2540	2993
459	2545	2988
460	2550	2982
461	2556	2976
462	2561	2970
463	2566	2965
464	2572	2959
465	2577	2953
466	2583	2948
467	2588	2942
468	2593	2936
469	2599	2931
470	2605	2925
471	2610	2919
472	2616	2915
473	2622	2909
474	2627	2903
475	2632	2897
476	2637	2892
477	2642	2886
478	2648	2880
479	2653	2874
480	2659	2869
481	2664	2863
482	2670	2857
483	2675	2851
484	2680	2846
485	2685	2840
486	2691	2834
487	2696	2829
488	2701	2823
489	2707	2817
490	2712	2811
491	2718	2806
492	2723	2800
493	2728	2795
494	2734	2789
495	2740	2784
496	2745	2778
497	2750	2772
498	2755	2766
499	2760	2760
500	2766	2755
501	2771	2749
502	2776	2743
503	2782	2738
504	2788	2732
505	2793	2727
506	2798	2721
507	2804	2715
508	2809	2710
509	2814	2704
510	2820	2698
511	2825	2692
512	2830	2687
513	2835	2681
514	2841	2675
515	2846	2670
516	2852	2664
517	2857	2659
518	2862	2653
519	2868	2647
520	2873	2642
521	2879	2636
522	2884	2630
523	2889	2624
524	2894	2619
525	2900	2613
526	2905	2607
527	2910	2601
528	2915	2596
529	2921	2590
530	2926	2584
531	2931	2579
532	2937	2573
533	2942	2567
534	2947	2561
535	2952	2555
536	2957	2550
537	2963	2544
538	2968	2538
539	2973	2533
540	2978	2527
541	2984	2521
542	2989	2515
543	2994	2510
544	2999	2504
545	3005	2498
546	3010	2493
547	3015	2487
548	3020	2481
549	3026	2475
550	3031	2470
551	3036	2464
552	3041	2458
553	3047	2453
554	3052	2447
555	3060	2444
556	3066	2438
557	3071	2432
558	3076	2427
559	3081	2421
560	3087	2416
561	3092	2410
562	3098	2404
563	3103	2398
564	3108	2393
565	3113	2387
566	3119	2382
567	3124	2376
568	3129	2370
569	3135	2365
570	3140	2359
571	3146	2354
572	3151	2348
573	3157	2343
574	3162	2337
575	3167	2331
576	3172	2326
577	3178	2320
578	3183	2314
579	3188	2308
580	3193	2303
581	3199	2297
582	3204	2291
583	3209	2286
584	3215	2280
585	3220	2275
586	3225	2269
587	3230	2263
588	3236	2258
589	3241	2252
590	3246	2246
591	3251	2241
592	3257	2235
593	3262	2230
594	3268	2224
595	3273	2219
596	3279	2213
597	3284	2208
598	3289	2202
599	3295	2196
600	3300	2191
601	3305	2185
602	3311	2179
603	3316	2174
