iter	Logloss
0	0.6770797058
1	0.6623248474
2	0.6521099591
3	0.6382965849
4	0.6292910322
5	0.6211471174
6	0.6130608962
7	0.6056763439
8	0.5987281106
9	0.5911719144
10	0.5856151145
11	0.5774723871
12	0.5714421547
13	0.5659803387
14	0.5589616852
15	0.5529383245
16	0.5466268921
17	0.5429146293
18	0.5396045439
19	0.5362159124
20	0.5325034584
21	0.529449885
22	0.5264821579
23	0.5233365316
24	0.5213208776
25	0.5148992264
26	0.5115567778
27	0.5085049683
28	0.506546733
29	0.5047034998
30	0.5023133024
31	0.5001738956
32	0.498302444
33	0.4947806454
34	0.4936117156
35	0.4919034857
36	0.490055431
37	0.4885385929
38	0.4862013506
39	0.4848481421
40	0.4840327811
41	0.4835669506
42	0.482461426
43	0.4803943106
44	0.4790861904
45	0.4781477012
46	0.4763775835
47	0.4746023146
48	0.4739484539
49	0.4721156264
50	0.4702941884
51	0.4691627923
52	0.4681079227
53	0.466976259
54	0.465272358
55	0.4646656486
56	0.4622778533
57	0.4614452062
58	0.4608508132
59	0.460130792
60	0.4595589228
61	0.4591612584
62	0.4583708009
63	0.4577223434
64	0.4572080727
65	0.4566152286
66	0.4558394368
67	0.4548545901
68	0.4543787255
69	0.4537742405
70	0.4530786888
71	0.4516441833
72	0.4509841774
73	0.4500898455
74	0.4492525596
75	0.4486213872
76	0.4479190057
77	0.4472581756
78	0.4461121206
79	0.4456839513
80	0.4450545081
81	0.4444122804
82	0.4429265125
83	0.4424329192
84	0.442083361
85	0.441666672
86	0.4413217275
87	0.4409212943
88	0.4402570112
89	0.4398113954
90	0.4393931488
91	0.438947051
92	0.4375688758
93	0.4374636662
94	0.436926154
95	0.4366082168
96	0.4361104912
97	0.4356364702
98	0.4353092734
99	0.4349759561
100	0.4343506834
101	0.4336712909
102	0.4333373571
103	0.4329471545
104	0.4317071539
105	0.4314273089
106	0.4305419344
107	0.4299329462
108	0.4295854539
109	0.4290361727
110	0.4286807179
111	0.4281955662
112	0.4278019735
113	0.4273156875
114	0.4269980474
115	0.4267235086
116	0.4264170044
117	0.426053796
118	0.4253756014
119	0.4250747573
120	0.4246937793
121	0.4244265591
122	0.4240331705
123	0.4237945811
124	0.4235188575
125	0.4222783443
126	0.4205492814
127	0.4199368994
128	0.4196507615
129	0.4188224366
130	0.4185661195
131	0.4181883391
132	0.4179667516
133	0.4174686876
134	0.4173040443
135	0.4169946619
136	0.41665431
137	0.4163644857
138	0.4159531367
139	0.4157536537
140	0.4151249517
141	0.4148561258
142	0.4145225016
143	0.4142972267
144	0.4137929195
145	0.413559895
146	0.4132681168
147	0.4130999903
148	0.4129360654
149	0.4127093396
150	0.4124626497
151	0.4120800618
152	0.4117814055
153	0.4115544715
154	0.4112792833
155	0.4109337391
156	0.4105927042
157	0.4102848465
158	0.4101887068
159	0.4099013495
160	0.4096060495
161	0.4093027158
162	0.4091043123
163	0.4088060644
164	0.4085436868
165	0.408289407
166	0.4080733517
167	0.4077192783
168	0.4072278671
169	0.4070019229
170	0.4067807181
171	0.4066011845
172	0.4064305837
173	0.4062116515
174	0.4058736544
175	0.4051804102
176	0.4050080147
177	0.4047023558
178	0.4043241391
179	0.403800376
180	0.4034179269
181	0.403185076
182	0.4029048803
183	0.4027416256
184	0.4025110839
185	0.4021944017
186	0.4019836293
187	0.40168885
188	0.401361126
189	0.4009953928
190	0.4008599815
191	0.4006764881
192	0.4004726943
193	0.4002466837
194	0.3997651156
195	0.399545717
196	0.3993244194
197	0.3990518645
198	0.3987795084
199	0.3981952026
200	0.3979832104
201	0.3977324543
202	0.3975507414
203	0.3973181137
204	0.3971511918
205	0.3969139312
206	0.3967895099
207	0.3965073035
208	0.3957276775
209	0.3955151277
210	0.3953880136
211	0.3952805986
212	0.3951530906
213	0.3948242121
214	0.3945437529
215	0.3944333882
216	0.3938216965
217	0.3935012958
218	0.3932460541
219	0.3930162014
220	0.3927494573
221	0.392528603
222	0.3923549182
223	0.3915832693
224	0.3912520899
225	0.3905388856
226	0.3902256975
227	0.3900254027
228	0.3897451787
229	0.3892671032
230	0.3888451042
231	0.3887038421
232	0.3884255281
233	0.3882859348
234	0.3879161012
235	0.3877945012
236	0.3876208131
237	0.3873917402
238	0.3871577593
239	0.3869491276
240	0.3866887777
241	0.3865293465
242	0.3862883192
243	0.3861004023
244	0.3859009924
245	0.3853688332
246	0.3850715654
247	0.3849332221
248	0.3847005443
249	0.3845150832
250	0.3841859222
251	0.3841053243
252	0.3839561072
253	0.3837448071
254	0.3835092882
255	0.3833536068
256	0.3831283974
257	0.3829918334
258	0.3827579921
259	0.3825024676
260	0.3821199792
261	0.3819762441
262	0.3818265322
263	0.3816431089
264	0.3814895377
265	0.3811766719
266	0.3809929309
267	0.3807380973
268	0.3802875727
269	0.3801767038
270	0.3799284526
271	0.379811008
272	0.3796270374
273	0.3793425786
274	0.3791127607
275	0.3788450371
276	0.3784708512
277	0.3782096726
278	0.3780564112
279	0.377860463
280	0.3777118917
281	0.3775926542
282	0.3773812303
283	0.377269102
284	0.3769156789
285	0.3767291094
286	0.3764265915
287	0.3761818616
288	0.3756256995
289	0.375488229
290	0.3753438057
291	0.3752667773
292	0.3750204743
293	0.3748751756
294	0.3745451222
295	0.3743483166
296	0.3742374304
297	0.3741256344
298	0.3738218813
299	0.3735217205
300	0.373354553
301	0.373162092
302	0.3728620877
303	0.37264366
304	0.3724979968
305	0.3722692588
306	0.3720838306
307	0.3718446074
308	0.3716452657
309	0.3712914994
310	0.3711791632
311	0.3710064607
312	0.3709129695
313	0.3704900554
314	0.3702385395
315	0.3701052494
316	0.3696822714
317	0.369488726
318	0.3692635854
319	0.3690290991
320	0.3687882232
321	0.3684744515
322	0.3683657336
323	0.368287007
324	0.3681245531
325	0.3678115289
326	0.3676056597
327	0.3674736118
328	0.3672798901
329	0.3669945333
330	0.3667339765
331	0.366652591
332	0.3664272776
333	0.3661289654
334	0.3656195365
335	0.3654208856
336	0.3651904806
337	0.3649534942
338	0.3647835059
339	0.3645062813
340	0.364179876
341	0.3636804242
342	0.3634822679
343	0.3632848796
344	0.363132011
345	0.3630687286
346	0.3628764589
347	0.36255456
348	0.3621062342
349	0.3618889926
350	0.3616421551
351	0.3614356834
352	0.3613319361
353	0.3611455288
354	0.3610542195
355	0.3605653794
356	0.360310578
357	0.3601382344
358	0.3599577201
359	0.3596187724
360	0.359416617
361	0.3592355344
362	0.3591739613
363	0.3589479372
364	0.3587180542
365	0.3584494251
366	0.3581039409
367	0.357965162
368	0.3576515465
369	0.3573806101
370	0.3572359428
371	0.3570244507
372	0.3568376911
373	0.356532989
374	0.3563992301
375	0.3562726021
376	0.3560918809
377	0.3558743082
378	0.3557310276
379	0.3555782453
380	0.3554326524
381	0.3549880166
382	0.3548017624
383	0.3545771285
384	0.3542560196
385	0.3540729765
386	0.3539814266
387	0.3539126089
388	0.3536586175
389	0.3534380317
390	0.3530632552
391	0.3525418706
392	0.3523343885
393	0.3519707659
394	0.3512591974
395	0.3509966257
396	0.3508820975
397	0.3507345416
398	0.3504030095
399	0.3501869332
400	0.3500119593
401	0.3496635217
402	0.3494283023
403	0.3491019365
404	0.3488975311
405	0.3487244887
406	0.3485904573
407	0.3484322379
408	0.3481621924
409	0.3477396969
410	0.3475253382
411	0.3471248546
412	0.3469162151
413	0.3462601175
414	0.3459221864
415	0.3455080854
416	0.3450744019
417	0.3448840534
418	0.3447274291
419	0.344282498
420	0.3440953324
421	0.343828566
422	0.343655619
423	0.3434517755
424	0.3432510249
425	0.3430005758
426	0.3425737349
427	0.3423555405
428	0.3421065368
429	0.3416225588
430	0.3413516769
431	0.3411958369
432	0.3409597301
433	0.3407802026
434	0.3405391117
435	0.3403436612
436	0.3401838671
437	0.3398202693
438	0.3395868447
439	0.338919551
440	0.3387602752
441	0.3385863788
442	0.338443679
443	0.3382771362
444	0.3375807057
445	0.3373850477
446	0.3371651287
447	0.3370257822
448	0.3364301669
449	0.3361742091
450	0.3359884472
451	0.3357407248
452	0.3355215524
453	0.3352320797
454	0.3350513125
455	0.3347284669
456	0.3344035343
457	0.3340858344
458	0.3339085521
459	0.3337086929
460	0.333559924
461	0.3333474131
462	0.3325715748
463	0.3320165572
464	0.3317713162
465	0.3315910626
466	0.3314186755
467	0.3312473724
468	0.3311075035
469	0.3308354397
470	0.330622236
471	0.3304988711
472	0.3300330182
473	0.329115598
474	0.3288474907
475	0.3286095796
476	0.3283561399
477	0.3277346015
478	0.327511893
479	0.3271673705
480	0.3269633533
481	0.3266917308
482	0.326578667
483	0.3262957708
484	0.3260552765
485	0.3258048646
486	0.3255567149
487	0.3253841338
488	0.3252526774
489	0.3247049345
490	0.3244827757
491	0.3242389983
492	0.3238492329
493	0.3235878079
494	0.3233977047
495	0.3231695587
496	0.3230137024
497	0.322632834
498	0.3223175626
499	0.3219181893
500	0.3217324936
501	0.3211713393
502	0.3209402836
503	0.320726879
504	0.3202078004
505	0.3200821973
506	0.3199573964
507	0.3197949358
508	0.3194883002
509	0.3191918405
510	0.3189524452
511	0.3186340023
512	0.3183620617
513	0.3180641864
514	0.3178542486
515	0.3177177264
516	0.3175683269
517	0.3173157116
518	0.3170713188
519	0.3168849664
520	0.3167040457
521	0.3165020808
522	0.316199217
523	0.3159816125
524	0.3156305073
525	0.3153864931
526	0.3151513179
527	0.3149833052
528	0.3147242972
529	0.3144937508
530	0.3143076996
531	0.3138133434
532	0.3136168344
533	0.3133881953
534	0.3131978043
535	0.3128675958
536	0.3126422225
537	0.3124578463
538	0.3122781905
539	0.3120286662
540	0.3118537193
541	0.3115652486
542	0.3113724097
543	0.3112239577
544	0.3110518187
545	0.3108627193
546	0.3103877662
547	0.3102254331
548	0.3100614762
549	0.3098511561
550	0.3097375489
551	0.3095158675
552	0.3093078086
553	0.3091230307
554	0.3089447506
555	0.3087504078
556	0.3086239465
557	0.3083435398
558	0.3079543051
559	0.3076849152
560	0.3075328932
561	0.3073833275
562	0.3070415545
563	0.3068342206
564	0.306666732
565	0.3064556186
566	0.3061634878
567	0.3060523297
568	0.3057700228
569	0.305619069
570	0.3054310533
571	0.305226791
572	0.3051305925
573	0.3049734624
574	0.3048104878
575	0.3045962174
576	0.3043863835
577	0.3041926161
578	0.3040138561
579	0.3038731213
580	0.3036914783
581	0.3034415957
582	0.3032445129
583	0.3030722728
584	0.3029145411
585	0.3027249703
586	0.302465823
587	0.30229375
588	0.3021031638
589	0.3019246298
590	0.3017963679
591	0.3016308833
592	0.3014896196
593	0.3013003026
594	0.3011372008
595	0.3009621549
596	0.300853128
597	0.3006794673
598	0.3005950321
599	0.3003334115
600	0.3002352209
601	0.300046006
602	0.2998811051
603	0.2997398896
604	0.2995966917
605	0.2994456053
606	0.2992501476
607	0.2990872814
608	0.2986497183
609	0.2984721972
610	0.2983675099
611	0.2982828613
612	0.298089779
613	0.2979551928
614	0.2977987544
615	0.2976439931
616	0.2974695473
617	0.2973018583
618	0.2971007529
619	0.2968755137
620	0.2966498921
621	0.2964787572
622	0.2962782072
623	0.296102947
624	0.2959528072
625	0.2957490141
626	0.2953367333
627	0.2950795369
628	0.2949868718
629	0.2948455166
630	0.2946825387
631	0.2944741286
632	0.2942990163
633	0.2941053093
634	0.2936849566
635	0.293551143
636	0.2933984958
637	0.2932786477
638	0.2931609465
639	0.2928647576
640	0.2926073689
641	0.2924730334
642	0.2922739438
643	0.2921957652
644	0.2920525356
645	0.2919776668
646	0.2918391142
647	0.2913747577
648	0.2911869875
649	0.2910215343
650	0.2907979502
651	0.2906622975
652	0.2905673375
653	0.2904270225
654	0.2902901105
655	0.2901321475
656	0.2899264913
657	0.2896289742
658	0.2894474294
659	0.2893166217
660	0.2890927806
661	0.2889146254
662	0.2887534305
663	0.2886129272
664	0.2884505048
665	0.2880313966
666	0.287882308
667	0.2877870316
668	0.2875996069
669	0.2872212496
670	0.2869533922
671	0.2866879982
672	0.2863194858
673	0.2861718765
674	0.2860048824
675	0.285772636
676	0.2856341776
677	0.2853772231
678	0.2851410086
679	0.2849479883
680	0.2847739377
681	0.284644114
682	0.2844682518
683	0.2843274449
684	0.2840106256
685	0.2837736313
686	0.2835830733
687	0.28345736
688	0.2833062974
689	0.2831386061
690	0.2830095914
691	0.2829027507
692	0.2825545984
693	0.2823299069
694	0.2821512302
695	0.2820554294
696	0.2818914293
697	0.2817361003
698	0.2815111544
699	0.2813835412
700	0.2812044123
701	0.2810322132
702	0.28089452
703	0.280826135
704	0.2805620643
705	0.280423233
706	0.2802736961
707	0.2801699621
708	0.2800369937
709	0.279921209
710	0.2798133878
711	0.2797156282
712	0.2795455224
713	0.2794022162
714	0.2792705365
715	0.2790277291
716	0.2789280543
717	0.2787495872
718	0.2785767557
719	0.2784554639
720	0.2782250513
721	0.2781250314
722	0.2779575685
723	0.2777830829
724	0.2775441036
725	0.2774206868
726	0.2772401962
727	0.2770445614
728	0.2769173253
729	0.2768314169
730	0.2766233453
731	0.2764965065
732	0.2763632079
733	0.2762500503
734	0.2761272975
735	0.2759918481
736	0.2758682206
737	0.2757222749
738	0.2754730616
739	0.2753039774
740	0.2751341833
741	0.2749986411
742	0.2748256639
743	0.274678166
744	0.2744120915
745	0.2742409846
746	0.274055681
747	0.2739611451
748	0.2738525177
749	0.2737148544
750	0.2735639717
751	0.2734370565
752	0.2733468568
753	0.2732089182
754	0.2730716806
755	0.2729620003
756	0.272871575
757	0.272801992
758	0.2726447561
759	0.2723947332
760	0.2722304849
761	0.2720670013
762	0.2719501814
763	0.2717519069
764	0.2716409946
765	0.2714723136
